code,name,start_date,end_date,days,p_change,p1,p2,p3
NLS,"Nautilus, Inc.",2020-01-17,0,100,0,30,0,0
NVDA,NVIDIA Corp.,2020-01-17,0,100,0,30,0,0
OKE,"ONEOK, Inc.",2020-01-17,0,100,0,30,0,0
FANG,"Diamondback Energy, Inc.",2020-01-17,0,100,0,30,0,0
REZI,"Resideo Technologies, Inc.",2020-01-17,0,100,0,30,0,0
CFX,Colfax Corp.,2020-01-17,0,100,0,30,0,0
EMR,Emerson Electric Co.,2020-01-17,0,100,0,30,0,0
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,2020-01-17,0,100,0,30,0,0
CDW,CDW Corp.,2020-01-17,0,100,0,30,0,0
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",2020-01-17,0,100,0,30,0,0
NBR,Nabors Industries Ltd.,2020-01-17,0,100,0,30,0,0
IJR,iShares Core S&P Small Cap ETF,2020-01-17,0,100,0,30,0,0
ZAYO,"Zayo Group Holdings, Inc.",2020-01-17,0,100,0,30,0,0
MBOT,"Microbot Medical, Inc.",2020-01-17,0,100,0,30,0,0
FLDM,Fluidigm Corp.,2020-01-17,0,100,0,30,0,0
RHI,"Robert Half International, Inc.",2020-01-17,0,100,0,30,0,0
DVN,Devon Energy Corp.,2020-01-17,0,100,0,30,0,0
CHWY,"Chewy, Inc.",2020-01-17,0,100,0,30,0,0
AZRX,"AzurRx BioPharma, Inc.",2020-01-17,0,100,0,30,0,0
ON,ON Semiconductor Corp.,2020-01-17,0,100,0,30,0,0
NAT,Nordic American Tankers Ltd.,2020-01-17,0,100,0,30,0,0
LVS,Las Vegas Sands Corp.,2020-01-17,0,100,0,30,0,0
NXPI,NXP Semiconductors NV,2020-01-17,0,100,0,30,0,0
VSH,"Vishay Intertechnology, Inc.",2020-01-17,0,100,0,30,0,0
UNIT,"Uniti Group, Inc.",2020-01-17,0,100,0,30,0,0
MCHP,"Microchip Technology, Inc.",2020-01-17,0,100,0,30,0,0
SCCO,Southern Copper Corp.,2020-01-17,0,100,0,30,0,0
RTIX,"RTI Surgical Holdings, Inc.",2020-01-17,0,100,0,30,0,0
WMB,"The Williams Cos., Inc.",2020-01-17,0,100,0,29,0,0
JNK,SPDR Bloomberg Barclays High Yield Bond ETF,2020-01-17,0,100,0,29,0,0
OR,Osisko Gold Royalties Ltd.,2020-01-17,0,100,0,29,0,0
BIG,"Big Lots, Inc.",2020-01-17,0,100,0,29,0,0
GLNG,Golar LNG Ltd.,2020-01-17,0,100,0,29,0,0
UMPQ,Umpqua Holdings Corp.,2020-01-17,0,100,0,29,0,0
ERJ,Embraer SA,2020-01-17,0,100,0,29,0,0
FPRX,"Five Prime Therapeutics, Inc.",2020-01-17,0,100,0,29,0,0
TER,"Teradyne, Inc.",2020-01-17,0,100,0,29,0,0
AERI,"Aerie Pharmaceuticals, Inc.",2020-01-17,0,100,0,29,0,0
VALE,Vale SA,2020-01-17,0,100,0,29,0,0
ITCI,"Intra-Cellular Therapies, Inc.",2020-01-17,0,100,0,29,0,0
ONCY,"Oncolytics Biotech, Inc.",2020-01-17,0,100,0,29,0,0
TGE,Tallgrass Energy LP,2020-01-17,0,100,0,29,0,0
EWZ,iShares MSCI Brazil Capped ETF,2020-01-17,0,100,0,29,0,0
VAL,Valaris Plc,2020-01-17,0,100,0,29,0,0
EMLP,First Trust North American Energy Infrastructure Fund,2020-01-17,0,100,0,29,0,0
USHY,iShares Broad USD High Yield Corporate Bond ETF,2020-01-17,0,100,0,29,0,0
YPF,YPF SA,2020-01-17,0,100,0,29,0,0
FTV,Fortive Corp.,2020-01-17,0,100,0,29,0,0
CDEV,"Centennial Resource Development, Inc.",2020-01-17,0,100,0,29,0,0
ZTS,"Zoetis, Inc.",2020-01-17,0,100,0,29,0,0
WBC,"WABCO Holdings, Inc.",2020-01-17,0,100,0,29,0,0
ATVI,"Activision Blizzard, Inc.",2020-01-17,0,100,0,29,0,0
RIG,Transocean Ltd.,2020-01-17,0,100,0,29,0,0
WEC,"WEC Energy Group, Inc.",2020-01-17,0,100,0,29,0,0
AMBC,"Ambac Financial Group, Inc.",2020-01-17,0,100,0,29,0,0
NI,"NiSource, Inc.",2020-01-17,0,100,0,29,0,0
RIO,Rio Tinto Plc,2020-01-17,0,100,0,28,0,0
CBD,Companhia Brasileira de Distribuicao,2020-01-17,0,100,0,28,0,0
LEVI,Levi Strauss & Co.,2020-01-17,0,100,0,28,0,0
CROX,"Crocs, Inc.",2020-01-17,0,100,0,28,0,0
TGTX,"TG Therapeutics, Inc.",2020-01-17,0,100,0,28,0,0
RVLV,"Revolve Group, Inc.",2020-01-17,0,100,0,28,0,0
DO,"Diamond Offshore Drilling, Inc.",2020-01-17,0,100,0,28,0,0
CCL,Carnival Corp.,2020-01-17,0,100,0,28,0,0
MUR,Murphy Oil Corp.,2020-01-17,0,100,0,28,0,0
IAU,iShares Gold Trust,2020-01-17,0,100,0,28,0,0
GTE,"Gran Tierra Energy, Inc.",2020-01-17,0,100,0,28,0,0
NWSA,News Corp.,2020-01-17,0,100,0,28,0,0
GLDM,SPDR Gold MiniShares Trust,2020-01-17,0,100,0,28,0,0
EPD,Enterprise Products Partners LP,2020-01-17,0,100,0,28,0,0
FATE,"Fate Therapeutics, Inc.",2020-01-17,0,100,0,28,0,0
MBT,Mobile TeleSystems PJSC,2020-01-17,0,100,0,28,0,0
WTI,"W&T Offshore, Inc.",2020-01-17,0,100,0,28,0,0
SUPV,Grupo Supervielle SA,2020-01-17,0,100,0,28,0,0
INFY,Infosys Ltd.,2020-01-17,0,100,0,28,0,0
IXUS,ishares Core MSCI Total International Stock ETF,2020-01-17,0,100,0,27,0,0
PXD,Pioneer Natural Resources Co.,2020-01-17,0,100,0,27,0,0
MMP,Magellan Midstream Partners LP,2020-01-17,0,100,0,27,0,0
BLUE,"bluebird bio, Inc.",2020-01-17,0,100,0,27,0,0
CFRX,ContraFect Corp.,2020-01-17,0,100,0,27,0,0
MNKD,MannKind Corp.,2020-01-17,0,100,0,27,0,0
DVY,iShares Select Dividend ETF,2020-01-17,0,100,0,27,0,0
INO,"Inovio Pharmaceuticals, Inc.",2020-01-17,0,100,0,27,0,0
ACWX,iShares MSCI ACWI ex U.S. ETF,2020-01-17,0,100,0,27,0,0
MLPA,Global X MLP ETF,2020-01-17,0,100,0,27,0,0
DUK,Duke Energy Corp.,2020-01-17,0,100,0,27,0,0
MLPI,ETRACS Alerian MLP Infrastructure Index ETN,2020-01-17,0,100,0,27,0,0
GS,"The Goldman Sachs Group, Inc.",2020-01-17,0,100,0,27,0,0
ET,Energy Transfer LP,2020-01-17,0,100,0,27,0,0
MTDR,Matador Resources Co.,2020-01-17,0,100,0,27,0,0
HYLB,Xtrackers USD High Yield Corporate Bond ETF,2020-01-17,0,100,0,27,0,0
THO,"Thor Industries, Inc.",2020-01-17,0,100,0,27,0,0
CTXR,"Citius Pharmaceuticals, Inc.",2020-01-17,0,100,0,27,0,0
VXUS,Vanguard Total International Stock Index Fund,2020-01-17,0,100,0,27,0,0
SMH,VanEck Vectors Semiconductor ETF,2020-01-17,0,100,0,27,0,0
FPE,First Trust Preferred Securities & Income ETF,2020-01-17,0,100,0,27,0,0
MPLX,MPLX LP,2020-01-17,0,100,0,27,0,0
AROC,"Archrock, Inc.",2020-01-17,0,100,0,27,0,0
VEU,Vanguard FTSE All-World ex-US Index Fund,2020-01-17,0,100,0,27,0,0
EOG,"EOG Resources, Inc.",2020-01-17,0,100,0,27,0,0
C,"Citigroup, Inc.",2020-01-17,0,100,0,27,0,0
WPX,"WPX Energy, Inc.",2020-01-17,0,100,0,27,0,0
NTG,"Tortoise Midstream Energy Fund, Inc.",2020-01-17,0,100,0,27,0,0
SNY,Sanofi,2020-01-17,0,100,0,27,0,0
MU,"Micron Technology, Inc.",2020-01-17,0,100,0,27,0,0
EWG,iShares MSCI Germany ETF,2020-01-17,0,100,0,26,0,0
DARE,"Dar茅 Bioscience, Inc.",2020-01-17,0,100,0,26,0,0
VWO,Vanguard FTSE Emerging Markets ETF,2020-01-17,0,100,0,26,0,0
IPG,"Interpublic Group of Cos., Inc.",2020-01-17,0,100,0,26,0,0
IEMG,iShares Core MSCI Emerging Markets ETF,2020-01-17,0,100,0,26,0,0
SJNK,SPDR Bloomberg Barclays Short Term High Yield Bond ETF,2020-01-17,0,100,0,26,0,0
VSLR,"Vivint Solar, Inc.",2020-01-17,0,100,0,26,0,0
EWW,iShares MSCI Mexico Capped ETF,2020-01-17,0,100,0,26,0,0
EPI,WisdomTree India Earnings Fund,2020-01-17,0,100,0,26,0,0
WYNN,Wynn Resorts Ltd.,2020-01-17,0,100,0,26,0,0
CEN,Center Coast Brookfield MLP & Energy Infrastructure Fund,2020-01-17,0,100,0,26,0,0
SPEM,SPDR Portfolio Emerging Markets ETF,2020-01-17,0,100,0,26,0,0
TRMB,"Trimble, Inc.",2020-01-17,0,100,0,26,0,0
RES,"RPC, Inc.",2020-01-17,0,100,0,26,0,0
SHYG,iShares 0-5 Year High Yield Corporate Bond ETF,2020-01-17,0,100,0,26,0,0
BSMX,Banco Santander Mexico SA Institucion de Banca Multiple,2020-01-17,0,100,0,26,0,0
AGNC,AGNC Investment Corp.,2020-01-17,0,100,0,26,0,0
ENTG,"Entegris, Inc.",2020-01-17,0,100,0,26,0,0
SCHE,Schwab Emerging Markets Equity ETF,2020-01-17,0,100,0,26,0,0
AMLP,The Alerian MLP ETF,2020-01-17,0,100,0,26,0,0
TS,Tenaris SA,2020-01-17,0,100,0,26,0,0
CIG,Companhia Energ茅tica de Minas Gerais SA,2020-01-17,0,100,0,26,0,0
ALB,Albemarle Corp.,2020-01-17,0,100,0,26,0,0
NFLX,"Netflix, Inc.",2020-01-17,0,100,0,26,0,0
SQM,Sociedad Quimica y Minera de Chile SA,2020-01-17,0,100,0,26,0,0
SOXL,Direxion Daily Semiconductor Bull 3x Shares,2020-01-17,0,100,0,26,0,0
KWEB,KraneShares CSI China Internet ETF,2020-01-17,0,100,0,26,0,0
HP,"Helmerich & Payne, Inc.",2020-01-17,0,100,0,26,0,0
PRMW,Primo Water Corp.,2020-01-17,0,100,0,26,0,0
ELAN,"Elanco Animal Health, Inc.",2020-01-17,0,100,0,26,0,0
MAT,"Mattel, Inc.",2020-01-17,0,100,0,26,0,0
CHRW,"C.H. Robinson Worldwide, Inc.",2020-01-17,0,100,0,26,0,0
NXST,"Nexstar Media Group, Inc.",2020-01-17,0,100,0,26,0,0
MCHI,iShares MSCI China ETF,2020-01-17,0,100,0,26,0,0
SAVE,"Spirit Airlines, Inc.",2020-01-17,0,100,0,26,0,0
EZU,iShares MSCI Eurozone ETF,2020-01-17,0,100,0,26,0,0
EEM,iShares MSCI Emerging Markets ETF,2020-01-17,0,100,0,26,0,0
RSX,VanEck Vectors Russia ETF,2020-01-17,0,100,0,26,0,0
ESGE,iShares ESG MSCI EM ETF,2020-01-17,0,100,0,26,0,0
LRCX,Lam Research Corp.,2020-01-17,0,100,0,26,0,0
ITW,"Illinois Tool Works, Inc.",2020-01-17,0,100,0,26,0,0
ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,2020-01-17,0,100,0,25,0,0
MNTA,"Momenta Pharmaceuticals, Inc.",2020-01-17,0,100,0,25,0,0
SSYS,Stratasys Ltd.,2020-01-17,0,100,0,25,0,0
CSX,CSX Corp.,2020-01-17,0,100,0,25,0,0
JD,"JD.com, Inc.",2020-01-17,0,100,0,25,0,0
VOYA,"Voya Financial, Inc.",2020-01-17,0,100,0,25,0,0
VET,"Vermilion Energy, Inc.",2020-01-17,0,100,0,25,0,0
ANET,"Arista Networks, Inc.",2020-01-17,0,100,0,25,0,0
EWH,iShares MSCI Hong Kong ETF,2020-01-17,0,100,0,25,0,0
AMZN,"Amazon.com, Inc.",2020-01-17,0,100,0,25,0,0
EBR,Centrais El茅tricas Brasileiras SA,2020-01-17,0,100,0,25,0,0
IRBT,iRobot Corp.,2020-01-17,0,100,0,25,0,0
MAS,Masco Corp.,2020-01-17,0,100,0,25,0,0
AXP,American Express Co.,2020-01-17,0,100,0,25,0,0
WRK,WestRock Co.,2020-01-17,0,100,0,25,0,0
MLCO,Melco Resorts & Entertainment Ltd.,2020-01-17,0,100,0,25,0,0
OII,"Oceaneering International, Inc.",2020-01-17,0,100,0,25,0,0
SPYD,SPDR S&P 500 High Dividend ETF,2020-01-17,0,100,0,25,0,0
L,Loews Corp.,2020-01-17,0,100,0,25,0,0
ATH,Athene Holding Ltd.,2020-01-17,0,100,0,25,0,0
CAT,"Caterpillar, Inc.",2020-01-17,0,100,0,25,0,0
CADE,Cadence Bancorporation,2020-01-17,0,100,0,25,0,0
SM,SM Energy Co.,2020-01-17,0,100,0,25,0,0
ATMP,Barclays ETN + Select MLP ETN,2020-01-17,0,100,0,25,0,0
MXIM,"Maxim Integrated Products, Inc.",2020-01-17,0,100,0,25,0,0
CATM,Cardtronics plc,2020-01-17,0,100,0,25,0,0
REI,"Ring Energy, Inc.",2020-01-17,0,100,0,25,0,0
TCOM,Trip.com Group Ltd.,2020-01-17,0,100,0,25,0,0
UBS,UBS Group AG,2020-01-17,0,100,0,25,0,0
AM,Antero Midstream Corp.,2020-01-17,0,100,0,25,0,0
DBD,"Diebold Nixdorf, Inc.",2020-01-17,0,100,0,25,0,0
BB,BlackBerry Ltd.,2020-01-17,0,100,0,25,0,0
EXTR,"Extreme Networks, Inc.",2020-01-17,0,100,0,25,0,0
DAL,"Delta Air Lines, Inc.",2020-01-17,0,100,0,25,0,0
CTVA,"Corteva, Inc.",2020-01-17,0,100,0,25,0,0
WDC,Western Digital Corp.,2020-01-17,0,100,0,25,0,0
TEL,TE Connectivity Ltd.,2020-01-17,0,100,0,25,0,0
ETRN,Equitrans Midstream Corp.,2020-01-17,0,100,0,25,0,0
PE,"Parsley Energy, Inc.",2020-01-17,0,100,0,25,0,0
IIVI,"II-VI, Inc.",2020-01-17,0,100,0,25,0,0
HLF,Herbalife Nutrition Ltd.,2020-01-17,0,100,0,25,0,0
LAZ,Lazard Ltd.,2020-01-17,0,100,0,25,0,0
TRVN,"Trevena, Inc.",2020-01-17,0,100,0,25,0,0
MET,"MetLife, Inc.",2020-01-17,0,100,0,25,0,0
IVZ,Invesco Ltd.,2020-01-17,0,100,0,25,0,0
XLNX,"Xilinx, Inc.",2020-01-17,0,100,0,25,0,0
BIDU,"Baidu, Inc.",2020-01-17,0,100,0,25,0,0
BTE,Baytex Energy Corp.,2020-01-17,0,100,0,25,0,0
NOK,Nokia Oyj,2020-01-17,0,100,0,25,0,0
GASL,Direxion Daily Natural Gas Related Bull 3x Shares,2020-01-17,0,100,0,25,0,0
DEAC,Diamond Eagle Acquisition Corp.,2020-01-17,0,100,0,24,0,0
CEI,"Camber Energy, Inc.",2020-01-17,0,100,0,24,0,0
AAOI,"Applied Optoelectronics, Inc.",2020-01-17,0,100,0,24,0,0
PM,"Philip Morris International, Inc.",2020-01-17,0,100,0,24,0,0
UNP,Union Pacific Corp.,2020-01-17,0,100,0,24,0,0
ENB,"Enbridge, Inc.",2020-01-17,0,100,0,24,0,0
CHL,China Mobile Ltd.,2020-01-17,0,100,0,24,0,0
USA,Liberty All-Star Equity Fund,2020-01-17,0,100,0,24,0,0
NRZ,New Residential Investment Corp.,2020-01-17,0,100,0,24,0,0
EQM,EQM Midstream Partners LP,2020-01-17,0,100,0,24,0,0
CSCO,"Cisco Systems, Inc.",2020-01-17,0,100,0,24,0,0
WB,Weibo Corp.,2020-01-17,0,100,0,24,0,0
FLEX,Flex Ltd.,2020-01-17,0,100,0,24,0,0
GEO,"The GEO Group, Inc.",2020-01-17,0,100,0,24,0,0
SDRL,Seadrill Ltd.,2020-01-17,0,100,0,24,0,0
XEL,"Xcel Energy, Inc.",2020-01-17,0,100,0,24,0,0
ETR,Entergy Corp.,2020-01-17,0,100,0,24,0,0
MAXR,"Maxar Technologies, Inc.",2020-01-17,0,100,0,24,0,0
SINA,SINA Corp.,2020-01-17,0,100,0,24,0,0
TGB,Taseko Mines Ltd.,2020-01-17,0,100,0,24,0,0
TTM,Tata Motors Ltd.,2020-01-17,0,100,0,24,0,0
JQC,Nuveen Credit Strategies Income Fund,2020-01-17,0,100,0,24,0,0
DB,Deutsche Bank AG,2020-01-17,0,100,0,24,0,0
WNS,WNS (Holdings) Ltd.,2020-01-17,0,100,0,24,0,0
PSK,SPDR Wells Fargo Preferred Stock ETF,2020-01-17,0,100,0,24,0,0
SYNA,"Synaptics, Inc.",2020-01-17,0,100,0,24,0,0
SCHF,Schwab International Equity ETF,2020-01-17,0,100,0,24,0,0
PAA,Plains All American Pipeline LP,2020-01-17,0,100,0,23,0,0
SPOT,Spotify Technology SA,2020-01-17,0,100,0,23,0,0
TTNP,"Titan Pharmaceuticals, Inc.",2020-01-17,0,100,0,23,0,0
HIX,"Western Asset High Income Fund II, Inc.",2020-01-17,0,100,0,23,0,0
LNT,Alliant Energy Corp.,2020-01-17,0,100,0,23,0,0
WKHS,"Workhorse Group, Inc.",2020-01-17,0,100,0,23,0,0
NVST,Envista Holdings Corp.,2020-01-17,0,100,0,23,0,0
CNP,"CenterPoint Energy, Inc.",2020-01-17,0,100,0,23,0,0
CHNG,"Change Healthcare, Inc.",2020-01-17,0,100,0,23,0,0
PAGP,Plains GP Holdings LP,2020-01-17,0,100,0,23,0,0
PGX,Invesco Preferred ETF,2020-01-17,0,100,0,23,0,0
TRP,TC Energy Corp.,2020-01-17,0,100,0,23,0,0
KMI,"Kinder Morgan, Inc.",2020-01-17,0,100,0,23,0,0
WAAS,AquaVenture Holdings Ltd.,2020-01-17,0,100,0,23,0,0
GNTX,Gentex Corp.,2020-01-17,0,100,0,23,0,0
SE,Sea Ltd. (Singapore),2020-01-17,0,100,0,23,0,0
IQV,"IQVIA Holdings, Inc.",2020-01-17,0,100,0,23,0,0
OGE,OGE Energy Corp.,2020-01-17,0,100,0,23,0,0
PZZA,"Papa John's International, Inc.",2020-01-17,0,100,0,23,0,0
NUS,"Nu Skin Enterprises, Inc.",2020-01-17,0,100,0,23,0,0
R,"Ryder System, Inc.",2020-01-17,0,100,0,23,0,0
PNW,Pinnacle West Capital Corp.,2020-01-17,0,100,0,23,0,0
PFF,iShares Preferred & Income Securities ETF,2020-01-17,0,100,0,23,0,0
OAS,"Oasis Petroleum, Inc.",2020-01-17,0,100,0,23,0,0
WES,Western Midstream Partners LP,2020-01-17,0,100,0,23,0,0
OCSL,Oaktree Specialty Lending Corp.,2020-01-17,0,100,0,23,0,0
CVA,Covanta Holding Corp.,2020-01-17,0,100,0,23,0,0
SIRI,"Sirius XM Holdings, Inc.",2020-01-17,0,100,0,23,0,0
CCO,"Clear Channel Outdoor Holdings, Inc.",2020-01-17,0,100,0,22,0,0
FTI,TechnipFMC Plc,2020-01-17,0,100,0,22,0,0
EWI,iShares MSCI Italy ETF,2020-01-17,0,100,0,22,0,0
EQX,Equinox Gold Corp.,2020-01-17,0,100,0,22,0,0
HIMX,"Himax Technologies, Inc.",2020-01-17,0,100,0,22,0,0
MOS,The Mosaic Co.,2020-01-17,0,100,0,22,0,0
GGN,"GAMCO Global Gold, Natural Resources & Income Trust",2020-01-17,0,100,0,22,0,0
PRTY,"Party City Holdco, Inc.",2020-01-17,0,100,0,22,0,0
NPTN,NeoPhotonics Corp.,2020-01-17,0,100,0,22,0,0
FLR,Fluor Corp.,2020-01-17,0,100,0,22,0,0
TAP,Molson Coors Beverage Co.,2020-01-17,0,100,0,22,0,0
HTHT,Huazhu Group Ltd.,2020-01-17,0,100,0,22,0,0
VICI,"VICI Properties, Inc.",2020-01-17,0,100,0,22,0,0
MSM,"MSC Industrial Direct Co., Inc.",2020-01-17,0,100,0,22,0,0
NICE,NICE Ltd. (Israel),2020-01-17,0,100,0,22,0,0
GPS,"Gap, Inc.",2020-01-17,0,100,0,22,0,0
CPG,Crescent Point Energy Corp.,2020-01-17,0,100,0,22,0,0
EWY,iShares MSCI South Korea ETF,2020-01-17,0,100,0,22,0,0
WIT,Wipro Ltd.,2020-01-17,0,100,0,22,0,0
ZTO,ZTO Express (Cayman) Inc.,2020-01-17,0,100,0,22,0,0
LNG,"Cheniere Energy, Inc.",2020-01-17,0,100,0,22,0,0
BPT,BP Prudhoe Bay Royalty Trust,2020-01-17,0,100,0,22,0,0
SU,"Suncor Energy, Inc.",2020-01-17,0,100,0,22,0,0
SCON,"Superconductor Technologies, Inc.",2020-01-17,0,100,0,22,0,0
ESTR,"Estre Ambiental, Inc.",2020-01-17,0,100,0,22,0,0
EXPD,"Expeditors International of Washington, Inc.",2020-01-17,0,100,0,22,0,0
INPX,Inpixon,2020-01-17,0,100,0,22,0,0
MFC,Manulife Financial Corp.,2020-01-17,0,100,0,22,0,0
CCI,Crown Castle International Corp.,2020-01-17,0,100,0,21,0,0
CNC,Centene Corp.,2020-01-17,0,100,0,21,0,0
BOOT,"Boot Barn Holdings, Inc.",2020-01-17,0,100,0,21,0,0
SYK,Stryker Corp.,2020-01-17,0,100,0,21,0,0
AVYA,Avaya Holdings Corp.,2020-01-17,0,100,0,21,0,0
QCOM,"QUALCOMM, Inc.",2020-01-17,0,100,0,21,0,0
OCGN,"Ocugen, Inc.",2020-01-17,0,100,0,21,0,0
AMT,American Tower Corp.,2020-01-17,0,100,0,21,0,0
ATO,Atmos Energy Corp.,2020-01-17,0,100,0,21,0,0
AY,Atlantica Yield Plc,2020-01-17,0,100,0,21,0,0
GDX,VanEck Vectors Gold Miners ETF,2020-01-17,0,100,0,21,0,0
AMBA,"Ambarella, Inc.",2020-01-17,0,100,0,21,0,0
TRGP,Targa Resources Corp.,2020-01-17,0,100,0,21,0,0
MEIP,"MEI Pharma, Inc.",2020-01-17,0,100,0,21,0,0
GRA,W.R. Grace & Co.,2020-01-17,0,100,0,21,0,0
AMX,America Movil SAB de CV,2020-01-17,0,100,0,21,0,0
WSM,"Williams-Sonoma, Inc.",2020-01-17,0,100,0,21,0,0
BUD,Anheuser-Busch InBev SA/NV,2020-01-17,0,100,0,21,0,0
NE,Noble Corp. Plc,2020-01-17,0,100,0,21,0,0
TOT,Total SA,2020-01-17,0,100,0,21,0,0
ANTM,"Anthem, Inc.",2020-01-17,0,100,0,21,0,0
AU,AngloGold Ashanti Ltd.,2020-01-17,0,100,0,21,0,0
M,"Macy's, Inc.",2020-01-17,0,100,0,21,0,0
TRIP,"TripAdvisor, Inc.",2020-01-17,0,100,0,21,0,0
DOYU,DouYu International Holdings Ltd.,2020-01-17,0,100,0,21,0,0
BNGO,"BioNano Genomics, Inc.",2020-01-17,0,100,0,21,0,0
W,"Wayfair, Inc.",2020-01-17,0,100,0,21,0,0
NTAP,"NetApp, Inc.",2020-01-17,0,100,0,21,0,0
EQNR,Equinor ASA,2020-01-17,0,100,0,21,0,0
CAG,"Conagra Brands, Inc.",2020-01-17,0,100,0,20,0,0
COG,Cabot Oil & Gas Corp.,2020-01-17,0,100,0,20,0,0
STAG,"STAG Industrial, Inc.",2020-01-17,0,100,0,20,0,0
SNAP,"Snap, Inc.",2020-01-17,0,100,0,20,0,0
PLT,"Plantronics, Inc.",2020-01-17,0,100,0,20,0,0
GPN,"Global Payments, Inc.",2020-01-17,0,100,0,20,0,0
LX,Lexinfintech Holdings Ltd.,2020-01-17,0,100,0,20,0,0
BDN,Brandywine Realty Trust,2020-01-17,0,100,0,20,0,0
HSDT,"Helius Medical Technologies, Inc.",2020-01-17,0,100,0,20,0,0
GLPI,"Gaming & Leisure Properties, Inc.",2020-01-17,0,100,0,20,0,0
AMAT,"Applied Materials, Inc.",2020-01-17,0,100,0,20,0,0
PRTK,"Paratek Pharmaceuticals, Inc.",2020-01-17,0,100,0,20,0,0
ONTX,"Onconova Therapeutics, Inc.",2020-01-17,0,100,0,20,0,0
EWC,iShares MSCI Canada ETF,2020-01-17,0,100,0,20,0,0
ECL,"Ecolab, Inc.",2020-01-17,0,100,0,20,0,0
BIOS,"Option Care Health, Inc.",2020-01-17,0,100,0,20,0,0
CREE,"Cree, Inc.",2020-01-17,0,100,0,20,0,0
ATUS,"Altice USA, Inc.",2020-01-17,0,100,0,20,0,0
PDD,"Pinduoduo, Inc.",2020-01-17,0,100,0,20,0,0
INTC,Intel Corp.,2020-01-17,0,100,0,20,0,0
IAC,IAC/InterActiveCorp.,2020-01-17,0,100,0,20,0,0
LYV,"Live Nation Entertainment, Inc.",2020-01-17,0,100,0,20,0,0
SPWR,SunPower Corp.,2020-01-17,0,100,0,20,0,0
UTX,United Technologies Corp.,2020-01-17,0,100,0,20,0,0
ALC,"Alcon, Inc.",2020-01-17,0,100,0,20,0,0
KLAC,KLA Corp.,2020-01-17,0,100,0,20,0,0
GPL,Great Panther Mining Ltd.,2020-01-17,0,100,0,20,0,0
RAD,Rite Aid Corp.,2020-01-17,0,100,0,20,0,0
AME,"AMETEK, Inc.",2020-01-17,0,100,0,20,0,0
FWONK,Liberty Media Corp.,2020-01-17,0,100,0,20,0,0
MMM,3M Co.,2020-01-17,0,100,0,20,0,0
XYL,"Xylem, Inc.",2020-01-17,0,100,0,20,0,0
